StudentAge,BooksIssued,LateReturns,MembershipYears,FrequentUser
18,2,0,1,No
19,3,1,1,No
20,5,0,2,Yes
21,6,1,2,Yes
22,4,0,1,No
23,7,1,3,Yes
24,8,0,3,Yes
25,2,2,1,No
26,5,1,2,Yes
27,6,0,3,Yes
28,4,1,2,No
29,7,0,3,Yes
30,8,1,4,Yes
31,3,2,2,No
32,5,0,3,Yes
33,6,1,3,Yes
34,4,1,2,No
35,7,0,4,Yes
36,8,1,4,Yes
37,2,2,1,No
38,5,0,3,Yes
39,6,1,3,Yes
40,4,1,2,No
41,7,0,4,Yes
42,8,1,4,Yes
43,3,2,2,No
44,5,0,3,Yes
45,6,1,3,Yes
46,4,1,2,No
47,7,0,4,Yes
48,8,1,4,Yes
49,2,2,1,No
50,5,0,3,Yes
18,3,1,1,No
19,4,0,2,No
20,6,1,2,Yes
21,7,0,3,Yes
22,5,1,2,No
23,8,0,3,Yes
24,9,1,3,Yes
25,3,2,1,No
26,6,1,2,Yes
27,7,0,3,Yes
28,5,1,2,No
29,8,0,3,Yes
30,9,1,4,Yes
31,4,2,2,No
32,6,0,3,Yes
33,7,1,3,Yes
34,5,1,2,No
35,8,0,4,Yes
36,9,1,4,Yes
37,3,2,1,No
38,6,0,3,Yes
39,7,1,3,Yes
40,5,1,2,No
41,8,0,4,Yes
42,9,1,4,Yes
43,4,2,2,No
44,6,0,3,Yes
45,7,1,3,Yes
46,5,1,2,No
47,8,0,4,Yes
48,9,1,4,Yes
49,3,2,1,No
50,6,0,3,Yes
