Attendance,StudyHours,PreviousMarks,Result
85,3,78,Pass
60,2,55,Fail
90,4,88,Pass
70,2,65,Pass
50,1,40,Fail
95,5,92,Pass
55,1,45,Fail
80,3,75,Pass
65,2,58,Fail
88,4,85,Pass
72,3,70,Pass
68,2,60,Pass
45,1,35,Fail
92,4,90,Pass
58,2,50,Fail
75,3,72,Pass
82,4,80,Pass
63,2,55,Fail
48,1,42,Fail
90,5,95,Pass
77,3,74,Pass
66,2,59,Fail
54,1,48,Fail
85,4,82,Pass
70,3,68,Pass
60,2,52,Fail
49,1,41,Fail
93,5,91,Pass
88,4,86,Pass
65,2,57,Fail
72,3,69,Pass
80,4,78,Pass
55,1,46,Fail
90,5,93,Pass
67,2,61,Pass
45,1,38,Fail
78,3,75,Pass
84,4,81,Pass
58,2,54,Fail
50,1,44,Fail
92,5,94,Pass
75,3,73,Pass
66,2,60,Pass
53,1,47,Fail
88,4,85,Pass
71,3,67,Pass
60,2,51,Fail
49,1,43,Fail
95,5,96,Pass
82,4,79,Pass
64,2,56,Fail
55,1,45,Fail
90,4,89,Pass
77,3,74,Pass
68,2,62,Pass
48,1,40,Fail
86,4,83,Pass
73,3,70,Pass
61,2,53,Fail
52,1,46,Fail
94,5,95,Pass
79,3,76,Pass
65,2,58,Fail
50,1,42,Fail
91,4,90,Pass
76,3,72,Pass
67,2,61,Pass
47,1,39,Fail
83,4,80,Pass
74,3,71,Pass
62,2,54,Fail
51,1,45,Fail
89,4,87,Pass
78,3,75,Pass
66,2,59,Fail
49,1,41,Fail
93,5,94,Pass
81,4,78,Pass
63,2,55,Fail
54,1,47,Fail
90,5,92,Pass
75,3,73,Pass
68,2,60,Pass
48,1,40,Fail
85,4,82,Pass
70,3,68,Pass
60,2,52,Fail
50,1,44,Fail
92,5,93,Pass
78,3,76,Pass
65,2,57,Fail
55,1,45,Fail
